RegulationId,RegistarId,Naslov,Vazenje,Dario_StupanjeNaSnagu,Dario_DatumPrimjene,Rezultati
16887,20042,Odluka o proglaÅ¡enju 1. oÅ¾ujka Nacionalnim danom edukacijskih rehabilitatora,Odluka stupa na snagu 26. 1. 2018.,26.01.2018,,1
16888,20043,"Odluka o proglaÅ¡enju projekta ""Sustav vodoopskrbe, odvodnje i proÄiÅ¡Ä‡avanja otpadnih voda aglomeracije Petrinja"" strateÅ¡kim investicijskim projektom Republike Hrvatske",Odluka stupa na snagu 1. 2. 2018.,01.02.2018,,1
16889,20044,"Odluka o proglaÅ¡enju projekta ""Regionalni vodoopskrbni sustav ZagrebaÄke Å¾upanije â€“ Zagreb istok"" strateÅ¡kim investicijskim projektom Republike Hrvatske",Odluka stupa na snagu 1. 2. 2018.,01.02.2018,,1
16890,20045,"Odluka o proglaÅ¡enju projekta ""Aglomeracija Umag - Savudrija â€“ Novigrad istarski"" strateÅ¡kim investicijskim projektom Republike Hrvatske",Odluka stupa na snagu 1. 2. 2018.,01.02.2018,,1
16891,20046,Odluka o pokretanju postupka pregovora o sklapanju Kolektivnog ugovora za djelatnost zdravstva i zdravstvenog osiguranja i imenovanju pregovaraÄkog odbora Vlade Republike Hrvatske,Odluka stupa na snagu 1. 2. 2018.,01.02.2018,,1
16892,20047,"Naredba o naÄinu uplaÄ‡ivanja prihoda proraÄuna, obveznih doprinosa te prihoda za financiranje drugih javnih potreba u 2018. godini",Naredba stupa na snagu 3. 2. 2018.,03.02.2018,,1
16893,20048,"RjeÅ¡enje o ovlaÅ¡Ä‡ivanju druÅ¡tva DALEKOVOD d.d. iz Zagreba, Ulica Marijana ÄŒaviÄ‡a 4, OIB: 47911242222 za obavljanje poslova zaÅ¡tite na radu","Prestaje se primjenjivati  RjeÅ¡enje o ovlaÅ¡Ä‡ivanju druÅ¡tva DALEKOVOD d.d. iz Zagreba, Ulica Marijana ÄŒaviÄ‡a 4, OIB: 47911242222 za obavljanje poslova zaÅ¡tite na radu (Narodne novine, br. 2/16).<br/>
Stavlja se izvan snage RjeÅ¡enje Zavoda za unapreÄ‘ivanje zaÅ¡tite na radu klasa: UP/I-115-01/15-01/93, urbroj: 425-02/4-15-2 od 30. 12. 2015. godine.",,,1
16895,20050,Zakon o provedbi Uredbe (EU) 2015/2365 o transparentnosti transakcija financiranja vrijednosnih papira i ponovne uporabe,Zakon stupa na snagu 15. 2. 2018.,15.02.2018,,1
16897,20052,Odluka o porezima OpÄ‡ine GarÄin,"Odluka stupa na snagu na snagu u roku od 8 dana od dana objave u SluÅ¾benom vjesniku Brodsko-posavske Å¾upanije, osim odredbi o prirezu porezu na dohodak koje stupaju na snagu prvog dana u mjesecu nakon objave u Narodnim novinama, tj. 1. 3. 2018.<br/>
Prestaje vaÅ¾iti Odluka o porezima OpÄ‡ine GarÄin (Nar. novine, br. 2/02).",,,1
16899,20054,Odluka o opÄ‡inskim porezima OpÄ‡ine Hrvatska Dubica,"Odluka stupa na snagu osmi dan od dana objave u Â»SluÅ¾benom vjesnikuÂ«, sluÅ¾benom glasilu OpÄ‡ine Hrvatska Dubica osim odredbi o prirezu porezu na dohodak koje stupaju na snagu 1. 3. 2018.<br/>
Prestaje vaÅ¾iti:<br/>
Odluka o opÄ‡inskim porezima (SluÅ¾beni vjesnik, broj 14/07 i 17/15)<br/>
1. 3. 2018. Odluka o prirezu porezu na dohodak (Narodne novine, broj 22/15).",01.03.2018,,1
