RegulationId,RegistarId,Naslov,Vazenje,Matko_StupanjeNaSnagu,Dario_StupanjeNaSnagu,Matko_DatumPrimjene,Dario_DatumPrimjene
16887,20042,Odluka o proglašenju 1. ožujka Nacionalnim danom edukacijskih rehabilitatora,Odluka stupa na snagu 26. 1. 2018.,25.01.2018,26.01.2018,,
16888,20043,"Odluka o proglašenju projekta ""Sustav vodoopskrbe, odvodnje i pročišćavanja otpadnih voda aglomeracije Petrinja"" strateškim investicijskim projektom Republike Hrvatske",Odluka stupa na snagu 1. 2. 2018.,31.01.2018,01.02.2018,,
16889,20044,"Odluka o proglašenju projekta ""Regionalni vodoopskrbni sustav Zagrebačke županije – Zagreb istok"" strateškim investicijskim projektom Republike Hrvatske",Odluka stupa na snagu 1. 2. 2018.,31.01.2018,01.02.2018,,
16890,20045,"Odluka o proglašenju projekta ""Aglomeracija Umag - Savudrija – Novigrad istarski"" strateškim investicijskim projektom Republike Hrvatske",Odluka stupa na snagu 1. 2. 2018.,31.01.2018,01.02.2018,,
16891,20046,Odluka o pokretanju postupka pregovora o sklapanju Kolektivnog ugovora za djelatnost zdravstva i zdravstvenog osiguranja i imenovanju pregovaračkog odbora Vlade Republike Hrvatske,Odluka stupa na snagu 1. 2. 2018.,31.01.2018,01.02.2018,,
16892,20047,"Naredba o načinu uplaćivanja prihoda proračuna, obveznih doprinosa te prihoda za financiranje drugih javnih potreba u 2018. godini",Naredba stupa na snagu 3. 2. 2018.,02.02.2018,03.02.2018,,
16893,20048,"Rješenje o ovlašćivanju društva DALEKOVOD d.d. iz Zagreba, Ulica Marijana Čavića 4, OIB: 47911242222 za obavljanje poslova zaštite na radu","Prestaje se primjenjivati  Rješenje o ovlašćivanju društva DALEKOVOD d.d. iz Zagreba, Ulica Marijana Čavića 4, OIB: 47911242222 za obavljanje poslova zaštite na radu (Narodne novine, br. 2/16).<br/>
Stavlja se izvan snage Rješenje Zavoda za unapređivanje zaštite na radu klasa: UP/I-115-01/15-01/93, urbroj: 425-02/4-15-2 od 30. 12. 2015. godine.",,,,
16895,20050,Zakon o provedbi Uredbe (EU) 2015/2365 o transparentnosti transakcija financiranja vrijednosnih papira i ponovne uporabe,Zakon stupa na snagu 15. 2. 2018.,14.12.2018,15.02.2018,,
16897,20052,Odluka o porezima Općine Garčin,"Odluka stupa na snagu na snagu u roku od 8 dana od dana objave u Službenom vjesniku Brodsko-posavske županije, osim odredbi o prirezu porezu na dohodak koje stupaju na snagu prvog dana u mjesecu nakon objave u Narodnim novinama, tj. 1. 3. 2018.<br/>
Prestaje važiti Odluka o porezima Općine Garčin (Nar. novine, br. 2/02).",,,,
16899,20054,Odluka o općinskim porezima Općine Hrvatska Dubica,"Odluka stupa na snagu osmi dan od dana objave u »Službenom vjesniku«, službenom glasilu Općine Hrvatska Dubica osim odredbi o prirezu porezu na dohodak koje stupaju na snagu 1. 3. 2018.<br/>
Prestaje važiti:<br/>
Odluka o općinskim porezima (Službeni vjesnik, broj 14/07 i 17/15)<br/>
1. 3. 2018. Odluka o prirezu porezu na dohodak (Narodne novine, broj 22/15).",28.02.2018,01.03.2018,,
16901,20056,Pravilnik o načinu ostvarivanja prava na jednokratnu novčanu pomoć za hrvatske branitelje iz Domovinskog rata i članove njihovih obitelji,"Pravilnik stupa na snagu 8. 2. 2018.<br />
Prestaje važiti Pravilnik o uvjetima, načinu i postupku ostvarivanja prava na jednokratnu novčanu pomoć (Narodne novine, br. 107/14).",07.02.2018,08.02.2018,,
16902,20057,Pravilnik o radu Povjerenstva za reviziju ocjene radne sposobnosti,"Pravilnik stupa na snagu 8. 2. 2018.<br />
Prestaje važiti Pravilnik o radu povjerenstva za reviziju ocjene invalidnosti (Narodne novine, br. 37/05).",07.02.2018,08.02.2018,,
16905,20060,Kolektivni ugovor za radnike Hrvatskih voda,Ugovor se sklapa na određeno vrijeme i primjenjuje se do 31. 12. 2027.,26.12.2017,,,
16910,20065,"Memorandum o suglasnosti između Vlade Republike Hrvatske i Vlade Rumunjske o uzajamnom pružanju potpore države domaćina, potpisan u Bukureštu 12. rujna 2017.",Zakon o potvrđivanju Memoranduma stupa na snagu 10. II. 2018.,09.02.2018,10.02.2018,,
16911,20066,"Ugovor o stabilnosti, koordinaciji i upravljanju u ekonomskoj i monetarnoj uniji između Kraljevine Belgije, Republike Bugarske, Kraljevine Danske, Savezne Republike Njemačke, Republike Estonije, Irske, Helenske Republike, Kraljevine Španjolske, Francuske Republike, Talijanske Republike, Republike Cipra, Republike Latvije, Republike Litve, Velikog Vojvodstva Luksemburga, Mađarske, Malte, Kraljevine Nizozemske, Republike Austrije, Republike Poljske, Portugalske Republike, Rumunjske, Republike Slovenije, Slovačke Republike, Republike Finske i Kraljevine Švedske, sastavljen u Bruxellesu 2. ožujka 2012.",Zakon o potvrđivanju Ugovora stupa na snagu 10. II. 2018.,09.02.2018,10.02.2018,,
16912,20067,"Ugovor između Vlade Republike Hrvatske i Vlade Republike Kazahstana o izbjegavanju dvostrukog oporezivanja i sprječavanju izbjegavanja plaćanja poreza na dohodak, potpisan u Zagrebu 5. lipnja 2017. i u Astani 29. rujna 2017.",Zakon o potvrđivanju Ugovora stupa na snagu 10. II. 2018.,09.02.2018,10.02.2018,,
16913,20068,"Sporazum o suradnji za partnerstvo i razvoj između Europske unije i njezinih država članica, s jedne strane, i Islamske Republike Afganistana, s druge strane, sastavljen u Münchenu 18. veljače 2017.",Zakon o potvrđivanju Sporazuma stupa na snagu 10. II. 2018.,09.02.2018,10.02.2018,,
